"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
           Somali , -   , 10 , -   , -   , 10 , -   , 10 , -   , -   , -   , -   , 5 , -   , 15 , -   , -   , -   , 5 , 5 , -   , 5 , -   , 70 , 460 
           Spanish , 70 , 720 , 65 , 240 , 335 , 350 , 340 , 40 , 295 , 305 , 120 , 245 , 40 , 410 , 110 , 35 , 55 , 95 , 300 , 190 , 815 , 65 ," 5,225 "," 15,570 "
           Swahili , 5 , 5 , 5 , -   , -   , 5 , 5 , -   , -   , -   , 10 , -   , -   , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , 60 , 290 
           Swedish , 5 , 40 , 10 , 20 , 10 , 5 , -   , -   , 5 , 25 , 5 , 10 , 5 , -   , 5 , 15 , 5 , -   , 5 , -   , 25 , 5 , 200 , 640 
"           Tagalog (Pilipino, Filipino) ", 20 , 180 , 20 , 85 , 165 , 355 ," 1,260 ", 25 , 400 , 30 , 330 , 410 , 60 ," 1,540 ", 385 , 15 , 15 , 20 ," 1,175 ", 625 , 185 , 5 ," 7,300 "," 23,510 "
           Taiwanese , 45 , 30 , 60 , 20 , -   , 20 , 5 , 65 , 35 , 20 , 80 , -   , 80 , 30 , 40 , 65 , 15 , -   , 30 , 25 , 20 , 25 , 725 ," 2,550 "
           Tamil , 5 , 10 , 5 , 5 , 10 , -   , 120 , 5 , 20 , 5 , 30 , 40 , 10 , 75 , 55 , 5 , -   , 5 , 275 , 50 , 20 , 5 , 760 ," 1,530 "
           Telugu , 5 , 10 , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 10 , 5 , 5 , -   , 55 , 250 
           Thai , 5 , 55 , 10 , 5 , 5 , 5 , 10 , -   , 5 , 5 , 10 , 15 , 5 , 25 , 10 , 5 , -   , -   , 10 , 10 , 60 , 5 , 255 , 560 
           Tibetan languages , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , 5 , -   , -   , 10 , 5 , 5 , -   , 30 , 100 
           Tigrigna , 5 , -   , -   , -   , 10 , -   , -   , -   , 5 , -   , 5 , 15 , -   , 5 , 5 , -   , -   , 5 , 5 , 5 , -   , 5 , 65 , 250 
           Turkish , 15 , 105 , 15 , 20 , 10 , 10 , 10 , 5 , 25 , 35 , 20 , 10 , 5 , 20 , 5 , -   , -   , 5 , 10 , -   , 155 , 10 , 475 ," 1,435 "
           Ukrainian , 5 , 40 , 15 , 35 , 10 , 15 , 10 , 5 , 20 , 25 , 20 , 20 , 5 , 15 , 20 , 5 , 5 , 5 , 10 , 10 , 50 , 10 , 355 ," 1,805 "
           Urdu , 5 , 40 , -   , 15 , 15 , 25 , 30 , 5 , 10 , 10 , 10 , 5 , 5 , 20 , 5 , 5 , -   , 5 , 135 , 20 , 25 , 5 , 375 ," 3,950 "
           Vietnamese , 5 , 90 , 5 , 15 , 220 , 695 ," 1,155 ", 10 , 285 , 30 , 55 , 205 , 15 ," 1,000 ", 125 , 10 , 15 , 150 , 395 , 455 , 45 , 5 ," 4,985 "," 10,170 "
           Yiddish , 5 , 5 , 5 , 10 , -   , 5 , 5 , -   , -   , 10 , -   , -   , 15 , -   , -   , 5 , -   , -   , -   , -   , 10 , 5 , 90 , 145 
         Other languages , 5 , 100 , 20 , 30 , 65 , 50 , 105 , 5 , 45 , 40 , 30 , 45 , 15 , 90 , 25 , -   , -   , 35 , 90 , 55 , 95 , 5 , 960 ," 3,075 "
     Multiple responses , 120 , 640 , 180 , 305 , 295 , 540 , 785 , 100 , 440 , 280 , 325 , 285 , 150 ," 1,035 ", 295 , 80 , 75 , 140 , 850 , 615 , 455 , 85 ," 8,075 "," 29,215 "
       English and French , 10 , 100 , 20 , 60 , 50 , 35 , 55 , 5 , 25 , 80 , 30 , 50 , 10 , 25 , 35 , 10 , 10 , 20 , 25 , 15 , 80 , 20 , 760 ," 2,140 "
       English and non-official language , 95 , 460 , 155 , 215 , 220 , 480 , 700 , 90 , 390 , 180 , 270 , 210 , 130 , 975 , 250 , 70 , 60 , 105 , 810 , 570 , 310 , 70 ," 6,800 "," 25,485 "
       French and non-official language , 5 , 50 , 10 , 10 , 20 , 15 , 20 , -   , 15 , 15 , 5 , 20 , 10 , 25 , 10 , -   , 5 , 10 , 10 , 25 , 55 , -   , 345 ," 1,040 "
"       English, French and non-official language ", 5 , 25 , -   , 15 , 10 , 5 , 15 , -   , 5 , 10 , 15 , 10 , -   , 10 , 5 , -   , 5 , -   , 5 , 5 , 15 , -   , 170 , 545 
   Detailed mother tongue - Females excluding institutional residents ," 8,535 "," 24,650 "," 11,155 "," 17,025 "," 13,945 "," 17,165 "," 24,095 "," 7,835 "," 14,885 "," 21,940 "," 11,965 "," 13,345 "," 6,640 "," 25,720 "," 11,355 "," 4,445 "," 3,900 "," 4,695 "," 18,350 "," 15,590 "," 21,095 "," 6,705 "," 304,215 "," 1,170,805 "
     Single responses ," 8,350 "," 24,095 "," 10,935 "," 16,650 "," 13,625 "," 16,580 "," 23,180 "," 7,685 "," 14,385 "," 21,565 "," 11,520 "," 12,965 "," 6,460 "," 24,580 "," 11,020 "," 4,360 "," 3,795 "," 4,595 "," 17,465 "," 14,990 "," 20,645 "," 6,600 "," 295,245 "," 1,139,005 "
       English ," 3,735 "," 12,490 "," 7,430 "," 11,900 "," 9,305 "," 6,535 "," 8,925 "," 4,085 "," 5,435 "," 16,335 "," 4,095 "," 8,705 "," 1,905 "," 6,695 "," 6,295 "," 2,460 "," 2,335 "," 2,025 "," 4,510 "," 3,780 "," 12,490 "," 4,455 "," 145,250 "," 637,010 "
       French , 95 , 465 , 145 , 435 , 275 , 145 , 260 , 90 , 105 , 590 , 115 , 255 , 35 , 125 , 140 , 40 , 55 , 65 , 90 , 50 , 625 , 150 ," 4,330 "," 12,700 "
       Non-official languages ," 4,525 "," 11,145 "," 3,365 "," 4,315 "," 4,045 "," 9,905 "," 13,995 "," 3,510 "," 8,845 "," 4,635 "," 7,305 "," 4,010 "," 4,520 "," 17,755 "," 4,585 "," 1,855 "," 1,405 "," 2,505 "," 12,865 "," 11,160 "," 7,535 "," 2,000 "," 145,665 "," 489,300 "
         Selected Aboriginal languages , -   , 10 , -   , 5 , 20 , 5 , 5 , -   , 5 , -   , 5 , 5 , -   , 5 , -   , -   , -   , 15 , 5 , 5 , -   , -   , 80 , 175 
           Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"           Cree, n.o.s. ", -   , 10 , -   , 5 , 10 , 5 , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , 5 , 5 , 5 , -   , -   , 55 , 120 
           Dene , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 
           Innu/Montagnais , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Inuktitut , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Ojibway , -   , -   , -   , -   , 10 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 20 , 40 
           Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Stoney , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 
         Selected non-Aboriginal languages ," 4,505 "," 11,060 "," 3,345 "," 4,280 "," 3,950 "," 9,860 "," 13,885 "," 3,505 "," 8,780 "," 4,595 "," 7,270 "," 3,940 "," 4,500 "," 17,630 "," 4,545 "," 1,855 "," 1,405 "," 2,450 "," 12,780 "," 11,090 "," 7,465 "," 1,990 "," 144,565 "," 485,850 "
"           African languages, n.i.e. ", -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , 5 , 5 , 25 , 240 
           Afrikaans , -   , 20 , 10 , 10 , 5 , 5 , 5 , -   , -   , 10 , -   , -   , -   , 5 , 5 , -   , -   , 5 , -   , -   , 10 , 5 , 105 , 635 
           Akan (Twi) , -   , -   , -   , 5 , 5 , -   , 5 , -   , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 5 , 5 , -   , 40 , 190 
           Albanian , -   , 10 , 5 , 20 , 5 , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , 10 , -   , 60 , 485 
           Amharic , -   , 10 , -   , 5 , 5 , 5 , 10 , 5 , 20 , 5 , -   , 10 , 5 , 10 , -   , -   , -   , 5 , 5 , 15 , 20 , -   , 140 , 540 
           Arabic , 5 , 385 , 5 , 50 , 25 , 15 , 35 , 5 , 50 , 30 , 30 , 35 , 25 , 35 , 10 , 10 , 5 , -   , 30 , 20 , 195 , 5 ," 1,015 "," 4,725 "
           Armenian , 10 , 25 , 10 , 10 , 5 , -   , -   , -   , -   , 10 , 5 , -   , 5 , 5 , 10 , 5 , 5 , -   , 5 , 5 , 15 , 5 , 135 , 480 
"           Bantu languages, n.i.e. ", -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 5 , -   , 25 , 195 
           Bengali , -   , 10 , 5 , 5 , -   , 25 , 20 , 5 , 10 , 5 , 30 , 50 , 10 , 30 , 5 , -   , 5 , 10 , 145 , 30 , 15 , 5 , 420 , 995 
           Berber languages (Kabyle) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 
           Bisayan languages , -   , 20 , 5 , 20 , 15 , 25 , 115 , 10 , 45 , 5 , 40 , 65 , 5 , 110 , 30 , -   , -   , -   , 70 , 50 , 15 , -   , 650 ," 1,945 "
           Bosnian , -   , 20 , -   , 5 , 5 , 5 , -   , -   , 5 , 10 , 15 , -   , 5 , 15 , -   , -   , -   , -   , -   , -   , 15 , 5 , 110 , 540 
           Bulgarian , 5 , 75 , 5 , 30 , 5 , 5 , 5 , -   , -   , 20 , 10 , 20 , 5 , 10 , -   , -   , -   , 5 , 5 , 5 , 60 , 5 , 260 , 855 
           Burmese , 5 , 5 , -   , -   , -   , 25 , 35 , 5 , 10 , -   , -   , 10 , 5 , 35 , -   , -   , -   , -   , 20 , 5 , -   , -   , 160 , 425 
           Cantonese , 790 ," 1,170 ", 565 , 535 , 940 ," 3,760 "," 4,245 ", 715 ," 2,645 ", 400 ," 1,715 ", 520 ," 1,160 "," 5,370 "," 1,150 ", 300 , 305 ," 1,060 "," 1,980 "," 4,215 ", 290 , 230 ," 34,050 "," 68,750 "
"           Chinese, n.o.s. "," 1,110 "," 1,200 ", 720 , 430 , 570 ," 1,935 "," 2,450 ", 835 ," 1,725 ", 410 ," 1,615 ", 315 ," 1,205 "," 3,230 ", 745 , 430 , 230 , 580 ," 1,185 "," 2,520 ", 395 , 320 ," 24,150 "," 59,775 "
           Creoles , 5 , -   , -   , -   , 5 , -   , 10 , -   , 5 , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , 35 , 250 
           Croatian , 15 , 70 , 15 , 45 , 45 , 80 , 25 , 5 , 30 , 50 , 15 , 20 , 10 , 80 , 20 , 5 , 10 , 10 , 10 , 50 , 65 , 10 , 680 ," 2,920 "
           Czech , 5 , 50 , 10 , 40 , 20 , 10 , 5 , 10 , 10 , 45 , 15 , 40 , 5 , 10 , 10 , 5 , 5 , -   , 10 , 10 , 90 , 15 , 420 ," 1,755 "
           Danish , 5 , 20 , 15 , 20 , 10 , 5 , 15 , 10 , 10 , 30 , 10 , 10 , 5 , -   , 5 , 10 , -   , -   , 5 , 5 , 35 , 10 , 235 ," 1,205 "
           Dutch , 20 , 55 , 40 , 50 , 25 , 15 , 25 , 20 , 25 , 95 , 20 , 45 , 5 , 25 , 50 , 10 , 10 , 10 , 15 , 15 , 85 , 30 , 670 ," 4,315 "
           Estonian , 5 , 5 , 5 , 5 , -   , -   , -   , -   , -   , 15 , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , 10 , 10 , 75 , 305 
           Finnish , 5 , 20 , 5 , 30 , 10 , 5 , 15 , 5 , 20 , 30 , 10 , 10 , -   , 20 , 5 , -   , 5 , -   , -   , 10 , 35 , 10 , 260 ," 1,230 "
           Flemish , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 15 , 95 
           Fukien , 5 , 25 , 10 , 10 , 10 , 15 , 35 , 10 , 20 , 5 , 25 , 5 , 20 , 35 , 15 , 5 , 10 , 5 , 10 , 20 , 5 , -   , 305 ," 1,035 "
           German , 95 , 260 , 190 , 295 , 140 , 80 , 200 , 75 , 130 , 420 , 90 , 155 , 50 , 125 , 130 , 50 , 40 , 25 , 265 , 120 , 400 , 145 ," 3,460 "," 14,180 "
           Greek , 140 , 45 , 75 , 40 , 25 , 30 , 45 , 20 , 45 , 300 , 30 , 35 , 10 , 55 , 70 , 20 , 15 , -   , 25 , 10 , 25 , 40 ," 1,110 "," 2,380 "
           Gujarati , 10 , 45 , 5 , 30 , 5 , 10 , 35 , -   , 50 , 25 , 5 , 10 , 5 , 70 , 10 , 10 , 5 , -   , 125 , 15 , 45 , 10 , 530 ," 3,320 "
           Hakka , 5 , 5 , 5 , -   , 10 , 15 , 25 , 10 , 20 , 5 , 15 , 5 , 5 , 55 , 5 , -   , 5 , -   , 15 , 5 , 5 , 5 , 225 , 610 
           Hebrew , 10 , 35 , 30 , 20 , 10 , -   , 5 , 30 , 5 , 50 , 25 , 20 , 10 , 5 , 45 , 10 , 25 , 5 , 10 , 5 , 10 , 15 , 365 , 690 
           Hindi , 20 , 65 , 15 , 20 , 20 , 75 , 270 , 15 , 115 , 35 , 40 , 25 , 30 , 410 , 95 , 10 , 5 , 10 , 450 , 245 , 45 , 15 ," 2,045 "," 11,945 "
           Hungarian , 10 , 60 , 40 , 60 , 30 , 20 , 35 , 10 , 45 , 80 , 55 , 35 , 15 , 25 , 20 , -   , 15 , 5 , 15 , 20 , 90 , 15 , 700 ," 2,985 "
           Ilocano , -   , 10 , -   , -   , 20 , 40 , 195 , 10 , 40 , 10 , 60 , 75 , -   , 180 , 40 , 5 , 5 , -   , 185 , 45 , 10 , -   , 920 ," 2,025 "
"           Indo-Iranian languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 25 , 170 
           Italian , 40 , 95 , 40 , 80 , 280 , 780 , 215 , 25 , 80 , 120 , 35 , 50 , 15 , 385 , 55 , 25 , 15 , 15 , 50 , 140 , 90 , 20 ," 2,625 "," 8,015 "
           Japanese , 95 , 630 , 115 , 325 , 125 , 155 , 205 , 80 , 150 , 310 , 205 , 205 , 80 , 310 , 130 , 50 , 70 , 15 , 90 , 115 , 935 , 95 ," 4,490 "," 10,290 "
           Khmer (Cambodian) , 5 , -   , -   , 5 , 5 , 20 , 35 , -   , 5 , 5 , 5 , 10 , -   , 35 , 10 , -   , -   , 10 , 25 , 15 , 5 , -   , 180 , 605 
           Korean , 290 ," 1,110 ", 120 , 200 , 90 , 45 , 140 , 190 , 230 , 190 , 135 , 180 , 175 , 270 , 45 , 40 , 55 , 10 , 60 , 60 , 810 , 90 ," 4,525 "," 23,890 "
           Kurdish , -   , 10 , 5 , -   , -   , 15 , 15 , -   , 30 , 5 , 5 , 10 , -   , 10 , 5 , -   , -   , 15 , 15 , 10 , 15 , 5 , 175 , 635 
           Lao , -   , 5 , -   , -   , -   , 5 , 5 , -   , 5 , 5 , -   , 5 , -   , 5 , 5 , -   , 5 , 5 , 5 , 5 , -   , -   , 55 , 445 
           Latvian , -   , 5 , 5 , 5 , 5 , -   , 5 , 5 , -   , 15 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 5 , 10 , 5 , 80 , 175 
           Lingala , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 15 
           Lithuanian , -   , 5 , -   , 5 , -   , -   , 5 , -   , 5 , 10 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , 50 , 150 
           Macedonian , -   , 10 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , 35 , 100 
           Malay , 15 , 90 , 10 , 20 , 15 , 10 , 20 , 10 , 35 , 15 , 35 , 5 , 25 , 80 , 10 , 5 , 15 , -   , 15 , 20 , 40 , 10 , 495 ," 1,730 "
           Malayalam , -   , 10 , -   , -   , -   , -   , 5 , -   , 15 , 5 , -   , -   , -   , 15 , -   , -   , -   , -   , 85 , 20 , -   , 5 , 165 , 620 
           Maltese , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 40 
           Mandarin ," 1,240 ", 975 , 680 , 375 , 170 , 370 , 590 , 895 , 745 , 370 ," 1,380 ", 175 , 955 ," 1,150 ", 350 , 440 , 205 , 210 , 350 , 570 , 390 , 390 ," 12,960 "," 48,240 "
           Marathi , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , 30 , 190 
           Nepali , -   , -   , -   , 5 , -   , -   , 15 , -   , -   , -   , 5 , 5 , -   , 5 , 5 , -   , 5 , -   , 15 , 5 , -   , -   , 50 , 330 
"           Niger-Congo languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 25 , 145 
           Norwegian , 5 , 10 , 15 , 5 , 5 , -   , 5 , 5 , -   , 20 , 5 , -   , -   , 5 , 5 , 5 , -   , 5 , 5 , -   , 5 , 10 , 110 , 535 
           Oromo , -   , -   , -   , -   , 5 , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 5 , -   , -   , 30 , 95 
           Panjabi (Punjabi) , 20 , 140 , 30 , 55 , 30 , 115 , 585 , 55 , 395 , 65 , 120 , 45 , 105 , 645 , 130 , 25 , 20 , 5 ," 4,305 ", 780 , 45 , 15 ," 7,745 "," 70,085 "
           Pashto , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 40 , -   , -   , -   , 50 , 380 
          Persian (Farsi),60,1405,35,150,35,60,30,40,55,135,80,35,30,50,20,25,25,10,50,25,570,65,2990,17000
          Polish,25,185,35,125,70,35,90,25,140,130,40,105,30,65,50,15,20,5,30,25,180,30,1455,6660
          Portuguese,20,175,30,55,90,105,260,5,70,80,30,45,5,355,50,5,20,10,55,80,170,20,1730,4800
           Romanian , 15 , 85 , 10 , 60 , 15 , 10 , 20 , 10 , 30 , 60 , 55 , 30 , 25 , 20 , 20 , -   , 5 , 5 , 20 , 5 , 130 , 5 , 625 ," 3,490 "
           Rundi (Kirundi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , 10 , 5 , 5 , -   , -   , 25 , 75 
           Russian , 30 , 500 , 35 , 115 , 55 , 40 , 45 , 35 , 130 , 160 , 160 , 75 , 50 , 65 , 45 , 15 , 30 , 15 , 35 , 20 , 380 , 40 ," 2,070 "," 8,285 "
           Rwanda (Kinyarwanda) , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , 10 , 35 
"           Semitic languages, n.i.e. ", -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 335 
          Serbian,15,330,15,115,20,35,20,15,45,70,35,25,5,60,10,0,15,5,10,5,210,5,1060,2915
          Serbo-Croatian,5,75,5,30,5,0,5,0,10,15,10,10,5,10,5,0,0,0,0,0,55,0,250,640
          Shanghainese,15,25,0,10,15,15,10,5,25,5,20,5,25,35,10,5,5,5,15,15,15,0,275,700
"           Sign languages, n.i.e. ", -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 10 , 5 , -   , -   , -   , 5 , -   , -   , -   , 30 , 150 
           Sindhi , 5 , 35 , -   , 15 , -   , -   , -   , -   , 10 , 5 , -   , 10 , -   , 10 , 5 , 5 , -   , -   , -   , -   , 20 , 5 , 135 , 940 
           Sinhala (Sinhalese) , 5 , 10 , 5 , -   , -   , 10 , 15 , -   , 5 , -   , 5 , 5 , -   , 10 , 5 , 5 , -   , -   , 15 , 10 , 5 , -   , 100 , 600 
"           Sino-Tibetan languages, n.i.e. ", -   , 5 , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , 35 , 360 
"           Slavic languages, n.i.e. ", -   , 10 , -   , -   , 5 , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 40 , 135 
          Slovak,5,55,5,20,5,0,10,0,10,30,5,10,5,10,5,5,0,0,0,5,75,5,270,1300
          Slovenian,5,5,0,5,5,0,5,0,0,5,0,10,0,5,5,0,5,0,5,5,10,5,70,310
          Somali,0,5,0,5,10,5,5,0,0,0,0,5,0,15,0,0,0,0,5,5,5,0,60,450
           Spanish , 75 , 665 , 75 , 285 , 265 , 370 , 355 , 60 , 350 , 360 , 145 , 245 , 75 , 410 , 105 , 45 , 75 , 75 , 305 , 220 , 635 , 75 ," 5,275 "," 16,730 "
           Swahili , -   , 5 , -   , 5 , 5 , -   , 5 , -   , -   , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , 5 , -   , 5 , -   , 50 , 280 
           Swedish , 5 , 35 , 5 , 30 , 10 , 5 , 5 , 5 , 5 , 20 , 5 , 15 , 5 , 10 , 5 , 10 , -   , 5 , -   , 5 , 40 , 5 , 235 , 790 
"           Tagalog (Pilipino, Filipino) ", 105 , 260 , 135 , 180 , 295 , 545 ," 1,815 ", 130 , 615 , 130 , 560 , 765 , 130 ," 2,195 ", 650 , 115 , 55 , 30 ," 1,650 ", 810 , 260 , 75 ," 11,505 "," 34,995 "
           Taiwanese , 60 , 45 , 70 , 30 , 5 , 15 , 10 , 70 , 50 , 20 , 110 , 5 , 95 , 30 , 40 , 70 , 20 , -   , 45 , 25 , 25 , 40 , 880 ," 2,915 "
          Tamil,0,10,5,5,10,5,110,5,20,5,25,20,5,70,35,5,0,5,230,45,10,0,635,1385
          Telugu,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,40,220
          Thai,15,55,5,10,25,10,30,10,10,20,25,15,5,40,25,10,5,5,15,10,75,10,410,1100
           Tibetan languages , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 10 , -   , -   , -   , 15 , 75 
           Tigrigna , -   , 5 , -   , -   , 5 , 5 , -   , -   , 5 , -   , -   , 15 , -   , 10 , -   , -   , -   , -   , 10 , 5 , -   , -   , 60 , 265 
           Turkish , 5 , 65 , 10 , 20 , 10 , 10 , 5 , 5 , 25 , 35 , 5 , 15 , 5 , 10 , 5 , -   , -   , -   , 15 , -   , 90 , 10 , 340 ," 1,105 "
           Ukrainian , 20 , 45 , 15 , 65 , 20 , 25 , 20 , 10 , 35 , 40 , 25 , 20 , 15 , 25 , 25 , 5 , 10 , 5 , 10 , 15 , 55 , 15 , 535 ," 2,455 "
           Urdu , 5 , 25 , -   , 5 , 10 , 20 , 20 , 10 , 10 , 5 , 10 , 5 , 5 , 15 , 5 , -   , -   , -   , 135 , 20 , 20 , -   , 325 ," 3,805 "
          Vietnamese,10,120,10,35,245,745,1225,5,295,25,70,215,30,1190,170,15,10,195,420,515,50,5,5600,11525
          Yiddish,10,0,5,10,5,5,0,5,0,10,0,5,15,0,0,0,10,0,0,0,10,5,95,145
        Other languages,15,70,20,35,75,35,105,5,60,40,40,60,20,120,40,5,5,35,80,70,65,10,1020,3265
     Multiple responses , 180 , 555 , 220 , 375 , 320 , 585 , 915 , 150 , 500 , 380 , 440 , 375 , 180 ," 1,145 ", 340 , 90 , 100 , 100 , 885 , 595 , 445 , 105 ," 8,965 "," 31,800 "
       English and French , 20 , 65 , 30 , 75 , 50 , 35 , 45 , 10 , 20 , 85 , 20 , 40 , 10 , 30 , 45 , 15 , 15 , 10 , 20 , 10 , 65 , 25 , 745 ," 2,235 "
       English and non-official language , 150 , 410 , 165 , 265 , 240 , 530 , 820 , 130 , 450 , 255 , 395 , 295 , 155 ," 1,085 ", 280 , 65 , 80 , 80 , 840 , 555 , 320 , 65 ," 7,625 "," 27,745 "
       French and non-official language , 10 , 65 , 10 , 20 , 25 , 15 , 35 , 5 , 20 , 25 , 15 , 25 , 10 , 15 , 15 , 5 , 5 , 10 , 10 , 20 , 45 , 10 , 410 ," 1,225 "
"       English, French and non-official language ", 5 , 15 , 15 , 15 , -   , 5 , 15 , 5 , 5 , 10 , 5 , 10 , 5 , 15 , 10 , -   , -   , 5 , 15 , 10 , 10 , 5 , 185 , 590 
Knowledge of official languages - Total population excluding institutional residents,15665,53270,21650,30690,27205,33700,47190,14725,28190,41180,23365,26155,12345,50240,21740,8515,7400,10705,36120,30110,44355,12795,595720,2292115
  English only,12725,45125,17805,25510,22115,26885,37750,12290,23965,33330,19935,21825,10315,41405,18065,6930,6120,7445,30555,24195,37355,10185,490430,1997605
  French only,10,55,5,25,15,10,40,5,15,30,10,30,0,35,10,0,5,20,20,5,55,15,430,1265
   English and French ," 1,500 "," 6,320 "," 3,050 "," 4,740 "," 3,570 "," 2,040 "," 3,235 "," 1,445 "," 1,475 "," 7,395 "," 1,560 "," 3,595 ", 670 ," 1,860 "," 2,450 "," 1,035 "," 1,020 ", 975 ," 1,605 "," 1,040 "," 6,275 "," 2,195 "," 58,905 "," 164,780 "
   Neither English nor French ," 1,425 "," 1,770 ", 785 , 405 ," 1,500 "," 4,770 "," 6,165 ", 975 ," 2,730 ", 425 ," 1,865 ", 695 ," 1,355 "," 6,940 "," 1,220 ", 550 , 260 ," 2,260 "," 3,935 "," 4,870 ", 670 , 405 ," 45,960 "," 128,460 "
